id,description
0,rER_c0_a0A_f0
1,rICU_c0_a0A_f0
375,rSURG0_c0_a1A_f0
376,rSURG1_c0_a1A_f0
377,rSURG2_c0_a1A_f0
13,rRAD0_c0_a1A_f0
14,rRAD1_c0_a1A_f0
15,rRAD2_c0_a1A_f0
16,rRAD3_c0_a1A_f0
47,r0_c1_a1B_f1
50,r1_c1_a1B_f1
53,r2_c1_a1B_f1
56,r3_c1_a1B_f1
59,r4_c1_a1B_f1
62,r5_c1_a1B_f1
65,r6_c0_a1B_f1
68,r7_c0_a1B_f1
71,r8_c0_a1B_f1
74,r9_c0_a1B_f1
77,r10_c0_a1B_f1
80,
83,
86,
89,
92,
95,
98,
101,
104,
107,
110,
113,
116,
119,
122,
125,
128,
131,
134,
137,
140,
143,
146,
149,
152,
155,r0_c1_a1B_f2
158,r1_c1_a1B_f2
161,r2_c1_a1B_f2
164,r3_c1_a1B_f2
167,r4_c0_a1B_f2
170,r5_c0_a1B_f2
173,r6_c0_a1B_f2
176,r7_c0_a1B_f2
179,r8_c0_a1B_f2
182,
185,
188,
191,
194,
197,
200,
203,
206,
209,
212,
215,
218,
221,
224,
227,
230,
233,
236,
239,
242,
245,r0_c1_a1B_f3
248,r1_c1_a1B_f3
251,r2_c1_a1B_f3
254,r3_c1_a1B_f3
257,r4_c0_a1B_f3
260,r5_c0_a1B_f3
263,r6_c0_a1B_f3
266,
269,
272,
275,
278,
281,
284,
287,
290,
293,
296,
299,
302,
305,
308,
311,
314,
317,
320,
323,
326,
