idRoom1,idRoom2,weight
0,13,0.625
1,375,0.625
375,376,0.625
376,377,0.625
13,14,0.625
14,15,0.625
15,16,0.625
47,53,0.625
47,53,0.625
47,53,0.625
47,53,0.625
47,53,0.625
47,53,0.625
50,56,0.625
50,56,0.625
50,56,0.625
50,56,0.625
50,56,0.625
50,56,0.625
53,59,0.625
53,59,0.625
56,62,0.625
56,62,0.625
59,62,0.625
59,65,0.625
59,62,0.625
62,65,0.625
65,71,0.625
65,71,0.625
65,74,0.625
68,74,0.625
68,74,0.625
68,77,0.625
71,77,0.625
74,77,0.625
155,161,0.625
155,161,0.625
155,161,0.625
155,161,0.625
155,161,0.625
155,161,0.625
158,164,0.625
158,164,0.625
158,164,0.625
158,164,0.625
158,164,0.625
158,164,0.625
167,170,0.625
167,173,0.625
167,173,0.625
167,173,0.625
167,170,0.625
167,170,0.625
170,176,0.625
170,173,0.625
170,173,0.625
176,179,0.625
245,251,0.625
245,251,0.625
245,251,0.625
245,251,0.625
245,251,0.625
245,251,0.625
248,254,0.625
248,254,0.625
248,254,0.625
248,254,0.625
248,254,0.625
248,254,0.625
257,260,0.625
257,263,0.625
257,263,0.625
257,260,0.625
257,260,0.625
260,263,0.625
260,263,0.625
260,263,0.625
